country,hdi,hdi_rank,life_expectancy,expected_schooling,mean_schooling,gni_per_capita_ppp
Jamaica,0.72,117,71.5,12.4,10.0,10057
Kyrgyzstan,0.72,117,71.7,12.7,12.1,6078
Philippines,0.72,117,69.8,12.8,10.0,10731
Morocco,0.71,120,75.3,15.1,6.2,8653
Venezuela (Bolivarian Republic of),0.709,121,72.5,13.0,9.7,7157
Samoa,0.708,122,71.7,12.4,11.3,5952
Nicaragua,0.706,123,74.9,11.5,9.9,6881
Nauru,0.703,124,62.1,12.8,9.4,19642
Bhutan,0.698,125,73.0,13.2,5.8,13843
Eswatini (Kingdom of),0.695,126,64.1,15.2,8.7,9919
Iraq,0.695,126,72.3,12.4,6.8,12654
Tajikistan,0.691,128,71.8,10.8,11.3,5747
Tuvalu,0.689,129,67.1,12.4,10.8,7006
Bangladesh,0.685,130,74.7,12.3,6.8,8498
India,0.685,130,72.0,13.0,6.9,9047
El Salvador,0.678,132,72.1,11.1,7.3,10595
Equatorial Guinea,0.674,133,63.7,12.5,8.3,12762
"Palestine, State of",0.674,133,65.2,13.0,10.1,6547
Cabo Verde,0.668,135,76.1,11.4,6.1,8165
Namibia,0.665,136,67.4,11.8,7.3,10917
Guatemala,0.662,137,72.6,10.7,5.8,12459
Congo,0.649,138,65.8,12.7,8.3,5903
Honduras,0.645,139,72.9,10.2,7.5,6065
Kiribati,0.644,140,66.5,11.9,9.1,4947
Sao Tome and Principe,0.637,141,69.7,12.9,6.0,5583
Timor-Leste,0.634,142,67.7,13.3,6.2,5435
Ghana,0.628,143,65.5,11.4,7.1,6846
Kenya,0.628,143,63.6,11.5,8.6,5608
Nepal,0.622,145,70.4,13.8,4.5,4726
Vanuatu,0.621,146,71.5,11.8,7.2,3404
Lao People's Democratic Republic,0.617,147,69.0,9.6,6.1,8106
Angola,0.616,148,64.6,12.2,6.0,6631
Micronesia (Federated States of),0.615,149,67.2,11.5,7.3,4246
Myanmar,0.609,150,66.9,11.5,6.4,4919
Cambodia,0.606,151,70.7,11.2,5.2,4931
Comoros,0.603,152,66.8,13.3,6.0,3481
Zimbabwe,0.598,153,62.8,11.1,8.9,3511
Zambia,0.595,154,66.3,11.0,7.4,3447
Cameroon,0.588,155,63.7,10.8,6.6,4746
Solomon Islands,0.584,156,70.5,11.3,5.9,2777
Côte d'Ivoire,0.582,157,61.9,11.4,4.9,6735
Uganda,0.582,157,68.3,11.6,6.3,2736
Rwanda,0.578,159,67.8,12.6,4.9,2971
Papua New Guinea,0.576,160,66.1,11.5,5.0,3971
Togo,0.571,161,62.7,13.1,5.9,2856
Syrian Arab Republic,0.564,162,72.1,7.4,5.9,3918
Mauritania,0.563,163,68.5,7.9,4.9,6267
Nigeria,0.56,164,54.5,10.5,7.6,5569
Tanzania (United Republic of),0.555,165,67.0,8.6,6.1,3515
Haiti,0.554,166,64.9,10.9,5.4,2935
Lesotho,0.55,167,57.4,11.0,7.7,3029
Pakistan,0.544,168,67.6,7.9,4.3,5501
Senegal,0.53,169,68.7,9.1,2.9,4202
Gambia,0.524,170,65.9,9.0,4.7,2812
Congo (Democratic Republic of the),0.522,171,61.9,10.9,7.4,1431
Malawi,0.517,172,67.4,9.9,5.2,1634
Benin,0.515,173,60.8,10.4,3.2,3806
Guinea-Bissau,0.514,174,64.1,10.6,3.7,2403
Djibouti,0.513,175,66.0,6.2,4.0,6368
Sudan,0.511,176,66.3,8.6,4.0,2810
Liberia,0.51,177,62.2,10.5,6.2,1538
Eritrea,0.503,178,68.6,7.3,5.1,2029
Guinea,0.5,179,60.7,10.4,2.5,3494
Ethiopia,0.497,180,67.3,9.2,2.4,2796
Afghanistan,0.496,181,66.0,10.8,2.5,1972
Mozambique,0.493,182,63.6,10.8,4.6,1356
Madagascar,0.487,183,63.6,9.1,4.6,1656
Yemen,0.47,184,69.3,7.5,5.5,1018
Sierra Leone,0.467,185,61.8,9.1,3.5,1714
Burkina Faso,0.459,186,61.1,8.7,2.3,2391
Burundi,0.439,187,63.7,9.8,3.5,859
Mali,0.419,188,60.4,7.0,1.6,2342
Niger,0.419,188,61.2,8.3,1.4,1590
Chad,0.416,190,55.1,8.3,2.3,1748
Central African Republic,0.414,191,57.4,7.4,4.0,1100
Somalia,0.404,192,58.8,7.5,1.9,1475
South Sudan,0.388,193,57.6,5.6,5.7,688
